jour,stock_solide,stock_liquide,cout_moyen_solide,cout_moyen_liquide,date
269,0.0,5741.000000000004,173.46568,240.37832052950318,2025-09-26
270,0.0,5741.000000000004,173.46568,240.37832052950318,2025-09-27
271,0.0,5091.000000000004,173.46568,240.37832052950318,2025-09-28
272,0.0,5091.000000000004,173.46568,240.37832052950318,2025-09-29
273,0.0,5091.000000000004,173.46568,240.37832052950318,2025-09-30
274,0.0,4399.000000000004,173.46568,240.37832052950318,2025-10-01
275,6496.142519003598,4228.857480996406,168.6595140186916,239.6878413677161,2025-10-02
276,6496.142519003598,4228.857480996406,168.6595140186916,239.6878413677161,2025-10-03
277,5885.422207744281,4839.577792255723,168.6595140186916,238.92710931359755,2025-10-04
278,5333.401784015468,4698.598215984535,168.6595140186916,238.38778496667103,2025-10-05
279,4762.128117195753,5269.871882804251,168.6595140186916,237.8752228508854,2025-10-06
280,4152.522230624762,5879.477769375241,168.6595140186916,237.438122648966,2025-10-07
281,3495.291193949497,5789.708806050507,168.6595140186916,237.05820380280804,2025-10-08
282,3051.6826205933817,5483.3173794066215,168.6595140186916,236.81632811533018,2025-10-09
283,2594.5686135751057,5242.431386424898,168.6595140186916,236.5734124334112,2025-10-10
284,2261.563872906807,5575.436127093197,168.6595140186916,236.39937367414495,2025-10-11
285,1734.8029198981196,5379.197080101884,168.6595140186916,236.1628603225977,2025-10-12
286,1734.8029198981196,5379.197080101884,168.6595140186916,236.1628603225977,2025-10-13
287,1246.5134205158556,5867.486579484148,168.6595140186916,235.95453300953855,2025-10-14
288,731.9891735645433,5686.01082643546,168.6595140186916,235.76950622877644,2025-10-15
289,307.6689739408565,5381.331026059147,168.6595140186916,235.62298187322693,2025-10-16
290,0.0,5032.000000000004,168.6595140186916,235.5167948209909,2025-10-17
291,0.0,5032.000000000004,168.6595140186916,235.5167948209909,2025-10-18
292,0.0,4302.000000000004,168.6595140186916,235.51679482099092,2025-10-19
293,378.1152895269556,4923.8847104730485,168.02377777777778,235.20192774483345,2025-10-20
294,4926.483655680859,5375.516344319145,165.0138761061947,234.76604622425873,2025-10-21
295,4573.993029760957,4999.0069702390465,165.0138761061947,234.47360673734858,2025-10-22
